City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
192,Northam,GB,2022-10-06 04:31:30,51.0333,-4.2167,clear sky,56.61,78,1,14.05
193,Inta,RU,2022-10-06 04:31:30,66.0317,60.1659,light rain,40.89,98,100,6.93
194,Narsaq,GL,2022-10-06 04:31:31,60.9167,-46.05,scattered clouds,35.82,92,44,5.59
195,Guarapari,BR,2022-10-06 04:31:31,-20.6667,-40.4975,overcast clouds,71.08,94,98,4.0
196,Lazaro Cardenas,MX,2022-10-06 04:31:31,17.9583,-102.2,overcast clouds,77.58,88,94,3.56
197,Cockburn Town,TC,2022-10-06 04:31:32,21.4612,-71.1419,overcast clouds,82.9,75,86,12.48
198,Karatuzskoye,RU,2022-10-06 04:31:32,53.6072,92.8667,light rain,36.25,96,100,1.92
199,Ambilobe,MG,2022-10-06 04:31:32,-13.2,49.05,clear sky,82.08,43,5,6.58
200,Backo Petrovo Selo,RS,2022-10-06 04:31:33,45.7081,20.0753,overcast clouds,51.94,73,100,5.53
201,Tongchuan,CN,2022-10-06 04:31:33,35.0806,109.0897,overcast clouds,50.68,85,100,4.23
202,Upernavik,GL,2022-10-06 04:31:34,72.7868,-56.1549,overcast clouds,18.54,88,95,6.04
203,Kaitangata,NZ,2022-10-06 04:31:34,-46.2817,169.8464,broken clouds,42.98,78,76,15.39
204,Bichura,RU,2022-10-06 04:31:35,50.5881,107.6022,broken clouds,44.47,36,60,4.41
205,Mandalgovi,MN,2022-10-06 04:31:35,45.7625,106.2708,few clouds,46.26,12,18,14.58
206,Angoche,MZ,2022-10-06 04:31:35,-16.2325,39.9086,clear sky,77.16,69,0,5.88
207,Burnie,AU,2022-10-06 04:31:36,-41.0667,145.9167,overcast clouds,52.95,91,100,15.3
208,Kuito,AO,2022-10-06 04:31:36,-12.3833,16.9333,scattered clouds,60.39,66,39,3.87
209,Singaraja,ID,2022-10-06 04:31:37,-8.112,115.0882,moderate rain,83.23,77,100,5.26
210,Huangzhai,CN,2022-10-06 04:31:37,38.0751,112.6595,overcast clouds,46.81,48,100,4.34
211,Necochea,AR,2022-10-06 04:31:37,-38.5473,-58.7368,overcast clouds,52.92,87,100,1.52
212,Sangar,RU,2022-10-06 04:31:38,63.9242,127.4739,overcast clouds,28.53,57,100,6.67
213,Pinega,RU,2022-10-06 04:31:38,64.7001,43.3936,overcast clouds,45.12,96,100,5.08
214,Flinders,AU,2022-10-06 04:31:38,-34.5833,150.8552,light rain,62.38,91,100,5.99
215,Envira,BR,2022-10-06 04:31:39,-7.3,-70.2167,broken clouds,72.88,88,82,1.77
216,Izhma,RU,2022-10-06 04:31:39,65.0083,53.9113,overcast clouds,42.31,95,100,4.23
217,Arraial Do Cabo,BR,2022-10-06 04:31:39,-22.9661,-42.0278,overcast clouds,68.92,85,100,10.47
218,Saint-Dizier,FR,2022-10-06 04:31:40,48.4167,5.0833,overcast clouds,55.0,91,89,4.72
219,Mareeba,AU,2022-10-06 04:31:40,-17.0,145.4333,broken clouds,86.43,64,82,8.93
220,Menongue,AO,2022-10-06 04:31:41,-14.6585,17.691,broken clouds,62.26,38,58,3.33
221,Opuwo,NA,2022-10-06 04:31:41,-18.0607,13.84,clear sky,64.89,37,0,2.1
222,Clyde River,CA,2022-10-06 04:31:42,70.4692,-68.5914,light snow,25.03,74,100,19.57
223,Hokitika,NZ,2022-10-06 04:31:42,-42.7167,170.9667,few clouds,47.71,42,12,9.6
224,Bar Harbor,US,2022-10-06 04:31:42,44.3876,-68.2039,light rain,58.46,90,100,4.61
225,Kosa,RU,2022-10-06 04:31:43,59.9445,54.9977,overcast clouds,43.86,81,92,7.34
226,Mahebourg,MU,2022-10-06 04:31:43,-20.4081,57.7,scattered clouds,75.49,69,40,12.66
227,Taltal,CL,2022-10-06 04:31:43,-25.4,-70.4833,clear sky,59.45,57,0,6.67
228,Aklavik,CA,2022-10-06 04:31:44,68.2191,-135.0107,broken clouds,33.78,88,64,8.46
229,Jumla,NP,2022-10-06 04:31:44,29.2747,82.1838,overcast clouds,55.78,95,100,2.8
230,Punta Alta,AR,2022-10-06 04:31:45,-38.8759,-62.0736,overcast clouds,52.5,82,88,11.1
231,Wanning,CN,2022-10-06 04:32:45,18.8003,110.3967,few clouds,82.89,82,22,8.46
232,Bathsheba,BB,2022-10-06 04:32:45,13.2167,-59.5167,scattered clouds,83.01,78,40,16.11
233,Pochutla,MX,2022-10-06 04:32:46,15.7432,-96.4661,few clouds,76.82,85,24,4.16
234,Santa Elena,EC,2022-10-06 04:32:46,-2.2333,-80.85,broken clouds,67.75,81,81,8.19
235,Kavaratti,IN,2022-10-06 04:32:47,10.5669,72.642,overcast clouds,81.97,75,100,15.99
236,Troitsko-Pechorsk,RU,2022-10-06 04:32:48,62.7084,56.1964,light rain,41.14,90,100,6.67
237,Markivka,UA,2022-10-06 04:32:48,49.5229,39.5705,scattered clouds,46.76,80,44,8.16
238,Nyirlugos,HU,2022-10-06 04:32:49,47.6932,22.0448,overcast clouds,43.99,77,98,3.94
239,Ribeira Grande,PT,2022-10-06 04:32:49,38.5167,-28.7,overcast clouds,71.58,83,97,7.31
240,Uvalde,US,2022-10-06 04:32:50,29.3669,-99.767,clear sky,68.99,52,0,0.0
241,Mogadishu,SO,2022-10-06 04:32:19,2.0371,45.3438,broken clouds,78.67,78,75,11.5
242,Beyneu,KZ,2022-10-06 04:32:50,45.3167,55.2,broken clouds,61.45,16,80,16.82
243,Pombas,CV,2022-10-06 04:32:50,17.1503,-25.0201,overcast clouds,76.78,86,94,11.41
244,Kuremaa,EE,2022-10-06 04:32:51,58.7353,26.5383,overcast clouds,53.28,95,100,11.48
