City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
437,Haines Junction,CA,broken clouds,55.35,60.7522,-137.5108,Haines Junction
440,Mount Gambier,AU,light rain,60.71,-37.8333,140.7667,Mount Gambier
441,Gasa,PS,few clouds,69.87,31.5,34.4667,Gaza
446,Khasan,RU,broken clouds,52.59,42.4308,130.6434,Yanbian Korean Autonomous Prefecture
450,Vila Franca Do Campo,PT,overcast clouds,69.19,37.7167,-25.4333,Vila Franca do Campo
452,Mgandu,TZ,overcast clouds,63.27,-5.95,34.1333,Mgandu
454,Yurla,RU,overcast clouds,44.04,59.3259,54.3223,Yurla
455,Petropavlovsk-Kamchatskiy,RU,broken clouds,46.99,53.0452,158.6483,Petropavlovsk-Kamchatskiy
456,Marystown,CA,overcast clouds,49.55,47.1666,-55.1483,Marystown
457,Takhtamygda,RU,broken clouds,41.76,54.1,123.5667,Takhtamygda
459,Mosquera,CO,broken clouds,53.69,4.7059,-74.2302,Mosquera
460,Tiznit,MA,broken clouds,69.42,29.5833,-9.5,Ouijjane
467,Faya,SA,scattered clouds,66.72,18.3851,42.4509,Faya
469,Ketchikan,US,overcast clouds,57.67,55.3422,-131.6461,Ketchikan
470,Albury,AU,overcast clouds,62.15,-36.0833,146.9167,Albury
472,Liverpool,GB,clear sky,53.71,53.4106,-2.9779,Liverpool
474,Linxia,CN,overcast clouds,54.36,35.6003,103.2064,Linxia
475,Havelock,US,clear sky,60.94,34.8791,-76.9013,Havelock
476,Jerome,US,clear sky,61.63,42.7241,-114.5186,Jerome
478,Xining,CN,overcast clouds,47.01,36.6167,101.7667,Xining
487,Dingli,MT,few clouds,64.81,35.8614,14.3822,Rabat
489,Catamarca,AR,overcast clouds,56.77,-28.4696,-65.7852,Catamarca
490,Banepa,NP,overcast clouds,64.72,27.6298,85.5214,Panauti
492,Belyy Yar,RU,clear sky,42.69,53.6039,91.3903,Belyi Yar
494,Sistranda,NO,light rain,48.16,63.7256,8.834,Midtsian
495,Awjilah,LY,broken clouds,69.69,29.1081,21.2869,Awjilah
496,Wellington,NZ,clear sky,51.06,-41.2866,174.7756,Wellington
501,Nola,IT,overcast clouds,65.62,40.922,14.5329,Nola
506,Kitob,UZ,clear sky,69.67,39.0843,66.8332,Shahrisabz
508,Maarianhamina,AX,overcast clouds,57.06,60.0973,19.9348,Mariehamn
512,Disna,BY,few clouds,45.09,55.568,28.1971,Dzisna
515,Sorland,NO,overcast clouds,48.06,67.667,12.6934,Sørland
516,College,US,scattered clouds,42.91,64.8569,-147.8028,Fairbanks
517,Broome,US,clear sky,52.63,42.2506,-75.833,Chenango Forks
518,Catalao,BR,broken clouds,68.54,-18.1658,-47.9464,Catalão
519,Bardiyah,LY,clear sky,69.96,31.7561,25.0865,Bardiyah
524,Saint-Augustin,CA,overcast clouds,50.99,51.226,-58.6502,Saint-Augustin
525,Malartic,CA,overcast clouds,59.11,48.1335,-78.1328,Malartic
526,Krasnyy Chikoy,RU,scattered clouds,45.1,50.3643,108.7512,Krasnyi Chikoi
528,Skibbereen,IE,scattered clouds,59.11,51.55,-9.2667,Skibbereen
530,Leh,IN,clear sky,48.65,34.1667,77.5833,Leh
531,Makat,KZ,overcast clouds,61.54,47.6469,53.3463,Makat
532,Gemena,CD,overcast clouds,69.19,3.25,19.7667,Gemena
533,Abbeville,FR,scattered clouds,57.16,50.1,1.8333,Abbeville
535,Vestmannaeyjar,IS,scattered clouds,44.69,63.4427,-20.2734,Vestmannaeyjar
536,Bose,IT,clear sky,60.22,45.4612,8.0137,Viverone
537,Virginia Beach,US,overcast clouds,62.62,36.8529,-75.978,Virginia Beach
538,Leshukonskoye,RU,overcast clouds,44.29,64.8989,45.7622,Leshukonskoe
541,Watsa,CD,overcast clouds,65.19,3.0372,29.5355,Watsa
542,Csany,HU,overcast clouds,46.74,47.6483,19.8297,Hatvan
545,Havoysund,NO,overcast clouds,43.03,70.9963,24.6622,Havøysund
546,Lucapa,AO,overcast clouds,67.08,-8.4192,20.7447,Lucapa
547,Kamaishi,JP,light rain,54.36,39.2667,141.8833,Kamaishi
551,Presidencia Roque Saenz Pena,AR,overcast clouds,66.07,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
552,Tacoronte,ES,broken clouds,69.33,28.4769,-16.4102,Tacoronte
553,Olney,US,clear sky,58.01,39.1532,-77.0669,Aspen Hill
554,Treinta Y Tres,UY,overcast clouds,56.75,-33.2333,-54.3833,Treinta y Tres
555,Fort-Shevchenko,KZ,broken clouds,66.47,44.5086,50.263,Fort-Shevchenko
561,Menzelinsk,RU,light rain,47.41,55.7271,53.1026,Menzelinsk
562,Vila,PT,overcast clouds,54.48,42.0304,-8.1588,Castro Laboreiro
